State	Up	Down	Left	Right
(2, 0, 1, 3)	-660.134910051436	-528.3501968570923	-661.1262811288537	-660.1293135526482
(2, 0, 1, 4)	-627.1263797557713	-628.2181351550291	-627.3584234677011	-627.7772168339206
(2, 0, 1, 5)	-580.6264152342434	-581.7756663657692	-580.9082066075973	-581.4646989442008
(2, 0, 1, 6)	0	0	0	0
(2, 0, 1, 7)	0	0	0	0
(2, 0, 1, 8)	-35.327463727177644	-35.96480071623199	-36.93993960829185	-35.686804015903235
(2, 0, 1, 9)	-35.45516689673083	-35.029137946122106	-35.78460035823742	-35.142957193279884
(2, 0, 1, 10)	0	0	0	0
(2, 0, 1, 11)	0	0	0	0
(2, 0, 1, 12)	0	0	0	0
(2, 0, 1, 13)	0	0	0	0
(2, 0, 2, 0)	0	0	0	0
(2, 0, 2, 1)	-694.8018067321286	-628.8785620691165	-696.3503139286362	-696.8742701525947
(2, 0, 2, 2)	-664.3280674420812	-665.0541409145414	-664.6212022601433	-665.0348961750494
(2, 0, 2, 3)	0	0	0	0
(2, 0, 2, 4)	-614.0583619959998	-613.8532638124865	-614.8165434098054	-613.7321773665868
(2, 0, 2, 5)	-534.7784778196618	-534.2478721126851	-534.982990608347	-534.1671530725077
(2, 0, 2, 6)	0	0	0	0
(2, 0, 2, 7)	0	0	0	0
(2, 0, 2, 8)	-47.51915108851621	-47.67915389883272	-48.24351051932545	-48.672977188802335
(2, 0, 2, 9)	-52.08140110705902	-52.86862403477928	-52.99828511627488	-51.71664078290934
(2, 0, 2, 10)	-6.23545144	-6.21446004096	-5.365061745940565	-4.7753000000000005
(2, 0, 2, 11)	-17.6447181906124	-18.26430830328738	-16.786989189117236	-16.99589053146289
(2, 0, 2, 12)	0	0	0	0
(2, 0, 2, 13)	0	0	0	0
(2, 0, 3, 0)	0	0	0	0
(2, 0, 3, 1)	-696.4408005598348	-696.2291664291953	-696.0042290299475	-695.8163963468455
(2, 0, 3, 2)	-674.8607126999939	-674.8206968168704	-674.3960470614555	-675.0245431724118
(2, 0, 3, 3)	0	0	0	0
(2, 0, 3, 4)	-581.7544245274756	-582.007963957007	-581.7190889682943	-581.6368136395129
(2, 0, 3, 5)	-462.4925786764418	-463.5300205509885	-464.55565243015405	-462.4234573699596
(2, 0, 3, 6)	0	0	0	0
(2, 0, 3, 7)	-55.140725511889514	-55.37627273536711	-56.33089636390102	-55.9478313654475
(2, 0, 3, 8)	-42.35765563962907	-41.67957262831993	-41.56600115177441	-41.617392048999356
(2, 0, 3, 9)	-38.02877805517619	-37.05217160967067	-36.98215253621424	-38.71930205071506
(2, 0, 3, 10)	-50.11853280711436	-50.4445056893435	-50.55615609427656	-50.604533672161324
(2, 0, 3, 11)	0	0	0	0
(2, 0, 3, 12)	0	0	0	0
(2, 0, 3, 13)	0	0	0	0
(2, 0, 4, 0)	0	0	0	0
(2, 0, 4, 1)	-721.3702635579415	-721.3155642240739	-721.8519273796735	-721.5006836023078
(2, 0, 4, 2)	-722.0067519345858	-722.3027666498343	-722.2370420183646	-721.9922640436504
(2, 0, 4, 3)	0	0	0	0
(2, 0, 4, 4)	-484.5524309741713	-485.0921076010641	-484.64762387864886	-484.2087655177544
(2, 0, 4, 5)	-392.9246062746012	-392.5220293915401	-392.2493744941452	-392.760540201975
(2, 0, 4, 6)	-211.05101506572677	-212.11829724201837	-211.0423786052275	-212.12884866633357
(2, 0, 4, 7)	-75.54688180035494	-76.03240147968003	-75.29352285685283	-76.2821260527803
(2, 0, 4, 8)	-83.1009518284292	-84.18955967154322	-84.05285883987125	-84.0530430534511
(2, 0, 4, 9)	-67.01222693032845	-64.3668604033026	-66.7192299207168	-64.27148403761208
(2, 0, 4, 10)	-79.80099996378192	-80.33885974664943	-80.15722114357743	-80.19031598713262
(2, 0, 4, 11)	0	0	0	0
(2, 0, 4, 12)	0	0	0	0
(2, 0, 4, 13)	0	0	0	0
(2, 0, 5, 0)	0	0	0	0
(2, 0, 5, 1)	0	0	0	0
(2, 0, 5, 2)	0	0	0	0
(2, 0, 5, 3)	0	0	0	0
(2, 0, 5, 4)	0	0	0	0
(2, 0, 5, 5)	0	0	0	0
(2, 0, 5, 6)	0	0	0	0
(2, 0, 5, 7)	0	0	0	0
(2, 0, 5, 8)	0	0	0	0
(2, 0, 5, 9)	0	0	0	0
(2, 0, 5, 10)	0	0	0	0
(2, 0, 5, 11)	0	0	0	0
(2, 0, 5, 12)	0	0	0	0
(2, 0, 5, 13)	0	0	0	0
(2, 1, 0, 0)	0	0	0	0
(2, 1, 0, 1)	0	0	0	0
(2, 1, 0, 2)	0	0	0	0
(2, 1, 0, 3)	0	0	0	0
(2, 1, 0, 4)	0	0	0	0
(2, 1, 0, 5)	0	0	0	0
(2, 1, 0, 6)	0	0	0	0
(2, 1, 0, 7)	0	0	0	0
(2, 1, 0, 8)	0	0	0	0
(2, 1, 0, 9)	0	0	0	0
(2, 1, 0, 10)	0	0	0	0
(2, 1, 0, 11)	0	0	0	0
(2, 1, 0, 12)	0	0	0	0
(2, 1, 0, 13)	0	0	0	0
(2, 1, 1, 0)	0	0	0	0
(2, 1, 1, 1)	-294.2661883170608	-375.7386707225607	-314.0610901813869	-310.21586440349654
(2, 1, 1, 2)	-353.67300602539876	-430.5286797832473	-266.51880738559	-404.15313327243274
(2, 1, 1, 3)	-650.2057011343309	-483.41082228496276	-203.2205158126037	-590.1387535436319
(2, 1, 1, 4)	-629.8775661586601	-514.4368963071053	-626.6545618869233	-627.4756178868162
(2, 1, 1, 5)	-582.073751281561	-582.4415399562624	-581.7301651821371	-581.8482066159709
(2, 1, 1, 6)	0	0	0	0
(2, 1, 1, 7)	0	0	0	0
(2, 1, 1, 8)	-37.728020292033825	-38.552724410630134	-37.7231156800553	-38.970540819842576
(2, 1, 1, 9)	-37.89739123190721	-36.69786440167309	-37.919003394731355	-36.58170010212043
(2, 1, 1, 10)	-1.8	0	0	-1.8
(2, 1, 1, 11)	0	0	0	0
(2, 1, 1, 12)	0	0	0	0
(2, 1, 1, 13)	0	0	0	0
(2, 1, 2, 0)	0	0	0	0
(2, 1, 2, 1)	0	0	0	0
(2, 1, 2, 2)	-667.0466510625718	-1004.1664943799544	-665.397033827031	-566.9436033793932
(2, 1, 2, 3)	0	0	0	0
(2, 1, 2, 4)	-612.8652849618528	-645.0186299802864	-613.9740378193734	-613.287549755526
(2, 1, 2, 5)	-535.4406211704214	-534.3019869904889	-534.2838712481629	-534.4150135376292
(2, 1, 2, 6)	0	0	0	0
(2, 1, 2, 7)	0	0	0	0
(2, 1, 2, 8)	-49.96358720384761	-50.04555991882987	-50.0308115069909	-48.63337190842165
(2, 1, 2, 9)	-52.66053718815351	-52.86650190828247	-53.92711650702961	-53.09963122399032
(2, 1, 2, 10)	-5.9427916000000005	-6.856697533155472	-7.1042653420866255	-5.81846344
(2, 1, 2, 11)	-18.443048124868742	-18.96846220678356	-18.528775639291585	-18.87930183574248
(2, 1, 2, 12)	0	0	0	0
(2, 1, 2, 13)	0	0	0	0
(2, 1, 3, 0)	0	0	0	0
(2, 1, 3, 1)	-692.6737491728785	-705.8319207257165	-692.1367862940355	-700.4083668220723
(2, 1, 3, 2)	-674.2048778971628	-703.4845905028018	-674.4494715211373	-674.1537038577809
(2, 1, 3, 3)	0	0	0	0
(2, 1, 3, 4)	-581.8710959269248	-598.7220063157938	-582.8522934705843	-582.3044120909184
(2, 1, 3, 5)	-463.75842998256934	-464.03846508317554	-464.3370310261018	-463.56392327340996
(2, 1, 3, 6)	0	0	0	0
(2, 1, 3, 7)	-56.44547469301876	-55.04989836557044	-56.10282283024163	-56.125222833897624
(2, 1, 3, 8)	-43.173269049729306	-65.40634114718394	-44.293960122588885	-42.93687273416765
(2, 1, 3, 9)	-38.039788201346994	-38.91227561488871	-37.86035605833796	-38.17059748269909
(2, 1, 3, 10)	-50.99133896737873	-49.887801788697494	-51.093562106018005	-49.610427092884535
(2, 1, 3, 11)	0	0	0	0
(2, 1, 3, 12)	0	0	0	0
(2, 1, 3, 13)	0	0	0	0
(2, 1, 4, 0)	0	0	0	0
(2, 1, 4, 1)	-722.3374726644913	-736.1179877361317	-721.5183778835165	-720.7523219120613
